price	pred_price	std
1020	1020.59	20.95
1280	1518.64	31.4
870	902.98	16.1
2620	2551.3	50.96
1540	1497.96	27.92
1080	1193.76	23.89
470	419.96	15.25
1190	1112.22	20.67
2300	2177.46	43.53
2120	2233.36	45.85
1350	1228.43	28.12
2980	2918.69	63.8
1300	1190.49	21.22
3270	3326.6	73.92
2980	2843.92	55.71
1670	1558.42	33.92
1730	1723.61	37.29
1450	1329.75	31.4
750	822.13	18.08
2070	2168.82	47.74
1460	1543.99	31.89
1750	1724.73	34.91
550	492.31	14.48
790	932.35	21.84
1270	1480.07	28.19
1390	1194	30.11
460	446.18	11.71
2450	2615.98	45.02
500	590.47	14.29
850	1012.41	17.73
490	534.14	12.09
1120	1086.71	22.89
1590	1729.98	44.85
1160	1482.1	37.34
650	540.24	14.89
700	595.94	16.9
630	690.67	20.97
670	799.03	15.07
820	658.78	14.84
1320	1037.75	24.6
2150	2087.79	38.66
1280	1222.48	23.53
2530	2753.99	74.08
3150	2925.33	81.83
890	1006.08	17.13
1130	1168.46	23.97
1880	1941.9	34.84
2870	2755.23	46.6
1100	1030.48	22.71
750	736.64	18.57
1830	1908.68	36.2
650	676.95	17
2110	2131.81	43.76
1250	1143.69	26.85
2799	2916.3	67.72
520	516.9	11.54
2270	2363.08	41.82
290	292.41	6.06
630	617.01	13.32
1389	1447.32	27.65
1580	1631.8	28.93
920	953.06	19.46
690	694.41	14.14
2830	2722.21	45.85
2450	2513.43	47.19
870	829.05	20.36
1550	1449.1	29.14
1150	1045.05	24.74
1240	1225.42	22.94
1840	1697.4	28.18
500	507.24	11.57
1190	1172.41	20.7
1830	1983.2	37.43
3500	3371.34	63.91
1360	1383.88	26.17
850	800.38	18.68
