model_code,car_type,trans_mode,fuel_type,branch,affiliate_code,region,trading_complex,refund,vain_effort,guarantee,selected_color,reg_month,adv_month,maker_code,class_code,car_code,grade_code
12166.0,,,,,,,,,,,,,,,,,
12167.0,,,,,,,,,,,,,,,,,
12170.0,,,,,,,,,,,,,,,,,
12171.0,,,,,,,,,,,,,,,,,
12172.0,,,,,,,,,,,,,,,,,
12174.0,,,,,,,,,,,,,,,,,
12176.0,,,,,,,,,,,,,,,,,
12177.0,,,,,,,,,,,,,,,,,
12178.0,,,,,,,,,,,,,,,,,
12179.0,,,,,,,,,,,,,,,,,
12180.0,,,,,,,,,,,,,,,,,
12181.0,,,,,,,,,,,,,,,,,
12184.0,,,,,,,,,,,,,,,,,
12188.0,,,,,,,,,,,,,,,,,
12189.0,,,,,,,,,,,,,,,,,
12190.0,,,,,,,,,,,,,,,,,
12191.0,,,,,,,,,,,,,,,,,
12192.0,,,,,,,,,,,,,,,,,
12193.0,,,,,,,,,,,,,,,,,
12194.0,,,,,,,,,,,,,,,,,
12195.0,,,,,,,,,,,,,,,,,
12196.0,,,,,,,,,,,,,,,,,
12197.0,,,,,,,,,,,,,,,,,
12198.0,,,,,,,,,,,,,,,,,
12199.0,,,,,,,,,,,,,,,,,
12204.0,,,,,,,,,,,,,,,,,
12218.0,,,,,,,,,,,,,,,,,
12222.0,,,,,,,,,,,,,,,,,
12227.0,,,,,,,,,,,,,,,,,
12236.0,,,,,,,,,,,,,,,,,
12237.0,,,,,,,,,,,,,,,,,
12245.0,,,,,,,,,,,,,,,,,
12246.0,,,,,,,,,,,,,,,,,
12251.0,,,,,,,,,,,,,,,,,
12252.0,,,,,,,,,,,,,,,,,
12268.0,,,,,,,,,,,,,,,,,
12270.0,,,,,,,,,,,,,,,,,
12273.0,,,,,,,,,,,,,,,,,
12278.0,,,,,,,,,,,,,,,,,
12279.0,,,,,,,,,,,,,,,,,
12280.0,,,,,,,,,,,,,,,,,
12283.0,,,,,,,,,,,,,,,,,
12284.0,,,,,,,,,,,,,,,,,
12292.0,,,,,,,,,,,,,,,,,
12293.0,,,,,,,,,,,,,,,,,
12298.0,,,,,,,,,,,,,,,,,
12300.0,,,,,,,,,,,,,,,,,
12310.0,,,,,,,,,,,,,,,,,
12314.0,,,,,,,,,,,,,,,,,
12363.0,,,,,,,,,,,,,,,,,
12365.0,,,,,,,,,,,,,,,,,
12366.0,,,,,,,,,,,,,,,,,
12367.0,,,,,,,,,,,,,,,,,
12368.0,,,,,,,,,,,,,,,,,
12370.0,,,,,,,,,,,,,,,,,
12371.0,,,,,,,,,,,,,,,,,
12372.0,,,,,,,,,,,,,,,,,
12375.0,,,,,,,,,,,,,,,,,
12377.0,,,,,,,,,,,,,,,,,
12378.0,,,,,,,,,,,,,,,,,
12379.0,,,,,,,,,,,,,,,,,
12380.0,,,,,,,,,,,,,,,,,
12382.0,,,,,,,,,,,,,,,,,
12383.0,,,,,,,,,,,,,,,,,
12385.0,,,,,,,,,,,,,,,,,
12386.0,,,,,,,,,,,,,,,,,
12390.0,,,,,,,,,,,,,,,,,
12392.0,,,,,,,,,,,,,,,,,
12394.0,,,,,,,,,,,,,,,,,
12396.0,,,,,,,,,,,,,,,,,
12398.0,,,,,,,,,,,,,,,,,
12400.0,,,,,,,,,,,,,,,,,
12402.0,,,,,,,,,,,,,,,,,
12403.0,,,,,,,,,,,,,,,,,
12499.0,,,,,,,,,,,,,,,,,
12500.0,,,,,,,,,,,,,,,,,
12501.0,,,,,,,,,,,,,,,,,
12502.0,,,,,,,,,,,,,,,,,
12503.0,,,,,,,,,,,,,,,,,
12504.0,,,,,,,,,,,,,,,,,
12505.0,,,,,,,,,,,,,,,,,
12506.0,,,,,,,,,,,,,,,,,
12507.0,,,,,,,,,,,,,,,,,
12508.0,,,,,,,,,,,,,,,,,
12509.0,,,,,,,,,,,,,,,,,
